step,x,y,reward,done,action
0,2,2,0,False,0
1,2,3,0,False,0
2,2,4,0,False,3
3,1,4,0,False,1
4,1,3,0,False,2
5,2,3,0,False,1
6,2,2,1,False,3
7,1,2,0,False,2
8,2,2,1,False,1
9,2,1,0,False,3
10,1,1,0,False,1
11,1,0,0,False,1
12,1,0,0,False,1
13,1,0,0,False,2
14,2,0,0,False,0
15,2,1,0,False,1
16,2,0,0,False,1
17,2,0,0,False,0
18,2,1,0,False,3
19,1,1,0,False,1
20,1,0,0,False,0
21,1,1,0,False,0
22,1,2,0,False,1
23,1,1,0,False,1
24,1,0,0,False,0
25,1,1,0,False,1
26,1,0,0,False,3
27,0,0,0,False,1
28,0,0,0,False,0
29,0,1,0,False,0
30,0,2,0,False,1
31,0,1,0,False,3
32,0,1,0,False,2
33,1,1,0,False,3
34,0,1,0,False,3
35,0,1,0,False,1
36,0,0,0,False,2
37,1,0,0,False,3
38,0,0,0,False,1
39,0,0,0,False,2
40,1,0,0,False,0
41,1,1,0,False,2
42,2,1,0,False,3
43,1,1,0,False,3
44,0,1,0,False,3
45,0,1,0,False,3
46,0,1,0,False,1
47,0,0,0,False,1
48,0,0,0,False,2
49,1,0,0,False,3
50,0,0,0,False,3
51,0,0,0,False,0
52,0,1,0,False,3
53,0,1,0,False,3
54,0,1,0,False,3
55,0,1,0,False,3
56,0,1,0,False,2
57,1,1,0,False,1
58,1,0,0,False,1
59,1,0,0,False,0
60,1,1,0,False,3
61,0,1,0,False,3
62,0,1,0,False,2
63,1,1,0,False,0
64,1,2,0,False,2
65,2,2,1,False,2
66,3,2,0,False,3
67,2,2,1,False,0
68,2,3,0,False,1
69,2,2,1,False,2
70,3,2,0,False,1
71,3,1,0,False,0
72,3,2,0,False,0
73,3,3,0,False,2
74,4,3,0,False,0
75,4,4,0,False,2
76,4,4,0,False,1
77,4,3,0,False,2
78,4,3,0,False,2
79,4,3,0,False,1
80,4,2,0,False,3
81,3,2,0,False,3
82,2,2,1,False,1
83,2,1,0,False,3
84,1,1,0,False,0
85,1,2,0,False,3
86,0,2,0,False,3
87,0,2,0,False,0
88,0,3,0,False,2
89,1,3,0,False,2
90,2,3,0,False,1
91,2,2,1,False,2
92,3,2,0,False,0
93,3,3,0,False,2
94,4,3,0,False,2
95,4,3,0,False,0
96,4,4,0,False,3
97,3,4,0,False,0
98,3,4,0,False,3
99,2,4,0,False,0
100,2,4,0,False,1
101,2,3,0,False,0
102,2,4,0,False,0
103,2,4,0,False,0
104,2,4,0,False,1
105,2,3,0,False,0
106,2,4,0,False,0
107,2,4,0,False,2
108,3,4,0,False,3
109,2,4,0,False,1
110,2,3,0,False,2
111,3,3,0,False,2
112,4,3,0,False,1
113,4,2,0,False,2
114,4,2,0,False,0
115,4,3,0,False,2
116,4,3,0,False,1
117,4,2,0,False,0
118,4,3,0,False,3
119,3,3,0,False,0
120,3,4,0,False,2
121,4,4,0,False,2
122,4,4,0,False,1
123,4,3,0,False,1
124,4,2,0,False,2
125,4,2,0,False,3
126,3,2,0,False,0
127,3,3,0,False,3
128,2,3,0,False,3
129,1,3,0,False,2
130,2,3,0,False,2
131,3,3,0,False,3
132,2,3,0,False,0
133,2,4,0,False,0
134,2,4,0,False,2
135,3,4,0,False,0
136,3,4,0,False,2
137,4,4,0,False,0
138,4,4,0,False,1
139,4,3,0,False,0
140,4,4,0,False,3
141,3,4,0,False,0
142,3,4,0,False,3
143,2,4,0,False,2
144,3,4,0,False,1
145,3,3,0,False,0
146,3,4,0,False,3
147,2,4,0,False,3
148,1,4,0,False,1
149,1,3,0,False,0
150,1,4,0,False,3
151,0,4,0,False,3
152,0,4,0,False,2
153,1,4,0,False,3
154,0,4,0,False,1
155,0,3,0,False,0
156,0,4,0,False,3
157,0,4,0,False,0
158,0,4,0,False,3
159,0,4,0,False,0
160,0,4,0,False,2
161,1,4,0,False,0
162,1,4,0,False,0
163,1,4,0,False,0
164,1,4,0,False,2
165,2,4,0,False,1
166,2,3,0,False,2
167,3,3,0,False,0
168,3,4,0,False,1
169,3,3,0,False,2
170,4,3,0,False,1
171,4,2,0,False,3
172,3,2,0,False,2
173,4,2,0,False,0
174,4,3,0,False,1
175,4,2,0,False,0
176,4,3,0,False,2
177,4,3,0,False,3
178,3,3,0,False,1
179,3,2,0,False,0
180,3,3,0,False,3
181,2,3,0,False,2
182,3,3,0,False,1
183,3,2,0,False,3
184,2,2,1,False,0
185,2,3,0,False,3
186,1,3,0,False,2
187,2,3,0,False,2
188,3,3,0,False,3
189,2,3,0,False,2
190,3,3,0,False,2
191,4,3,0,False,2
192,4,3,0,False,0
193,4,4,0,False,2
194,4,4,0,False,3
195,3,4,0,False,2
196,4,4,0,False,2
197,4,4,0,False,0
198,4,4,0,False,3
199,3,4,0,False,0
200,3,4,0,False,0
201,3,4,0,False,3
202,2,4,0,False,3
203,1,4,0,False,1
204,1,3,0,False,1
205,1,2,0,False,1
206,1,1,0,False,3
207,0,1,0,False,2
208,1,1,0,False,0
209,1,2,0,False,0
210,1,3,0,False,2
211,2,3,0,False,0
212,2,4,0,False,2
213,3,4,0,False,2
214,4,4,0,False,3
215,3,4,0,False,0
216,3,4,0,False,2
217,4,4,0,False,3
218,3,4,0,False,2
219,4,4,0,False,3
220,3,4,0,False,1
221,3,3,0,False,3
222,2,3,0,False,1
223,2,2,1,False,2
224,3,2,0,False,2
225,4,2,0,False,2
226,4,2,0,False,3
227,3,2,0,False,0
228,3,3,0,False,0
229,3,4,0,False,2
230,4,4,0,False,0
231,4,4,0,False,2
232,4,4,0,False,1
233,4,3,0,False,0
234,4,4,0,False,1
235,4,3,0,False,1
236,4,2,0,False,1
237,4,1,0,False,2
238,4,1,0,False,2
239,4,1,0,False,0
240,4,2,0,False,1
241,4,1,0,False,0
242,4,2,0,False,3
243,3,2,0,False,3
244,2,2,1,False,3
245,1,2,0,False,1
246,1,1,0,False,0
247,1,2,0,False,3
248,0,2,0,False,3
249,0,2,0,False,3
250,0,2,0,False,0
251,0,3,0,False,1
252,0,2,0,False,1
253,0,1,0,False,1
254,0,0,0,False,0
255,0,1,0,False,0
256,0,2,0,False,0
257,0,3,0,False,0
258,0,4,0,False,3
259,0,4,0,False,2
260,1,4,0,False,1
261,1,3,0,False,3
262,0,3,0,False,1
263,0,2,0,False,0
264,0,3,0,False,0
265,0,4,0,False,0
266,0,4,0,False,1
267,0,3,0,False,2
268,1,3,0,False,0
269,1,4,0,False,3
270,0,4,0,False,2
271,1,4,0,False,1
272,1,3,0,False,0
273,1,4,0,False,0
274,1,4,0,False,1
275,1,3,0,False,2
276,2,3,0,False,1
277,2,2,1,False,1
278,2,1,0,False,0
279,2,2,1,False,2
280,3,2,0,False,2
281,4,2,0,False,2
282,4,2,0,False,0
283,4,3,0,False,2
284,4,3,0,False,2
285,4,3,0,False,0
286,4,4,0,False,3
287,3,4,0,False,0
288,3,4,0,False,2
289,4,4,0,False,1
290,4,3,0,False,2
291,4,3,0,False,0
292,4,4,0,False,2
293,4,4,0,False,2
294,4,4,0,False,2
295,4,4,0,False,1
296,4,3,0,False,2
297,4,3,0,False,1
298,4,2,0,False,3
299,3,2,0,False,2
300,4,2,0,False,3
301,3,2,0,False,1
302,3,1,0,False,1
303,3,0,0,False,3
304,2,0,0,False,3
305,1,0,0,False,3
306,0,0,0,False,3
307,0,0,0,False,2
308,1,0,0,False,2
309,2,0,0,False,3
310,1,0,0,False,0
311,1,1,0,False,0
312,1,2,0,False,1
313,1,1,0,False,0
314,1,2,0,False,3
315,0,2,0,False,0
316,0,3,0,False,3
317,0,3,0,False,3
318,0,3,0,False,3
319,0,3,0,False,0
320,0,4,0,False,3
321,0,4,0,False,0
322,0,4,0,False,0
323,0,4,0,False,3
324,0,4,0,False,2
325,1,4,0,False,0
326,1,4,0,False,0
327,1,4,0,False,2
328,2,4,0,False,2
329,3,4,0,False,1
330,3,3,0,False,3
331,2,3,0,False,1
332,2,2,1,False,3
333,1,2,0,False,3
334,0,2,0,False,0
335,0,3,0,False,3
336,0,3,0,False,2
337,1,3,0,False,1
338,1,2,0,False,3
339,0,2,0,False,3
340,0,2,0,False,1
341,0,1,0,False,1
342,0,0,0,False,3
343,0,0,0,False,3
344,0,0,0,False,1
345,0,0,0,False,0
346,0,1,0,False,0
347,0,2,0,False,0
348,0,3,0,False,1
349,0,2,0,False,1
350,0,1,0,False,1
351,0,0,0,False,1
352,0,0,0,False,1
353,0,0,0,False,1
354,0,0,0,False,2
355,1,0,0,False,0
356,1,1,0,False,1
357,1,0,0,False,1
358,1,0,0,False,2
359,2,0,0,False,0
360,2,1,0,False,0
361,2,2,1,False,2
362,3,2,0,False,3
363,2,2,1,False,2
364,3,2,0,False,3
365,2,2,1,False,1
366,2,1,0,False,3
367,1,1,0,False,1
368,1,0,0,False,3
369,0,0,0,False,1
370,0,0,0,False,2
371,1,0,0,False,1
372,1,0,0,False,3
373,0,0,0,False,0
374,0,1,0,False,1
375,0,0,0,False,2
376,1,0,0,False,1
377,1,0,0,False,1
378,1,0,0,False,1
379,1,0,0,False,0
380,1,1,0,False,2
381,2,1,0,False,1
382,2,0,0,False,2
383,3,0,0,False,3
384,2,0,0,False,0
385,2,1,0,False,1
386,2,0,0,False,3
387,1,0,0,False,2
388,2,0,0,False,2
389,3,0,0,False,2
390,4,0,0,False,1
391,4,0,0,False,3
392,3,0,0,False,2
393,4,0,0,False,0
394,4,1,0,False,2
395,4,1,0,False,2
396,4,1,0,False,2
397,4,1,0,False,2
398,4,1,0,False,2
399,4,1,0,False,2
400,4,1,0,False,2
401,4,1,0,False,3
402,3,1,0,False,2
403,4,1,0,False,2
404,4,1,0,False,1
405,4,0,0,False,1
406,4,0,0,False,3
407,3,0,0,False,0
408,3,1,0,False,0
409,3,2,0,False,3
410,2,2,1,False,1
411,2,1,0,False,3
412,1,1,0,False,0
413,1,2,0,False,3
414,0,2,0,False,2
415,1,2,0,False,1
416,1,1,0,False,3
417,0,1,0,False,0
418,0,2,0,False,0
419,0,3,0,False,1
420,0,2,0,False,0
421,0,3,0,False,2
422,1,3,0,False,0
423,1,4,0,False,3
424,0,4,0,False,0
425,0,4,0,False,1
426,0,3,0,False,0
427,0,4,0,False,3
428,0,4,0,False,2
429,1,4,0,False,2
430,2,4,0,False,3
431,1,4,0,False,3
432,0,4,0,False,3
433,0,4,0,False,3
434,0,4,0,False,3
435,0,4,0,False,0
436,0,4,0,False,2
437,1,4,0,False,1
438,1,3,0,False,3
439,0,3,0,False,2
440,1,3,0,False,1
441,1,2,0,False,3
442,0,2,0,False,3
443,0,2,0,False,1
444,0,1,0,False,3
445,0,1,0,False,3
446,0,1,0,False,1
447,0,0,0,False,3
448,0,0,0,False,1
449,0,0,0,False,2
450,1,0,0,False,2
451,2,0,0,False,1
452,2,0,0,False,1
453,2,0,0,False,0
454,2,1,0,False,2
455,3,1,0,False,2
456,4,1,0,False,2
457,4,1,0,False,3
458,3,1,0,False,0
459,3,2,0,False,0
460,3,3,0,False,0
461,3,4,0,False,0
462,3,4,0,False,1
463,3,3,0,False,1
464,3,2,0,False,3
465,2,2,1,False,1
466,2,1,0,False,0
467,2,2,1,False,1
468,2,1,0,False,2
469,3,1,0,False,1
470,3,0,0,False,1
471,3,0,0,False,1
472,3,0,0,False,3
473,2,0,0,False,2
474,3,0,0,False,1
475,3,0,0,False,1
476,3,0,0,False,0
477,3,1,0,False,2
478,4,1,0,False,2
479,4,1,0,False,3
480,3,1,0,False,1
481,3,0,0,False,2
482,4,0,0,False,3
483,3,0,0,False,3
484,2,0,0,False,0
485,2,1,0,False,3
486,1,1,0,False,2
487,2,1,0,False,1
488,2,0,0,False,0
489,2,1,0,False,3
490,1,1,0,False,0
491,1,2,0,False,3
492,0,2,0,False,3
493,0,2,0,False,3
494,0,2,0,False,1
495,0,1,0,False,3
496,0,1,0,False,2
497,1,1,0,False,0
